,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high
0,0,26,1,0,0.66,0.34,dur_calls,dur_Shopping,freq_Shopping,dur_Sports,dur_Comics,dur_calls,freq_Shopping
1,1,8,0,1,0.39,0.61,dur_calls,dur_Comics,freq_Unknown,dur_Sports,dur_Personalization,dur_Personalization,dur_calls
2,2,86,1,1,,,dur_Shopping,freq_Shopping,dur_Comics,dur_calls,dur_Sports,dur_Shopping,freq_Shopping
3,3,78,0,0,,,dur_Shopping,freq_Shopping,dur_Comics,dur_Sports,freq_Sports,dur_Shopping,freq_Shopping
4,4,43,1,1,,,dur_Shopping,freq_Shopping,dur_Comics,dur_calls,freq_Unknown,dur_Shopping,freq_Shopping
5,5,85,1,1,,,dur_Shopping,freq_Shopping,dur_Comics,freq_Unknown,dur_calls,dur_Shopping,freq_Shopping
6,6,22,1,1,,,freq_Shopping,dur_Comics,dur_Sports,dur_calls,dur_Personalization,freq_Shopping,dur_Comics
7,7,50,0,1,,,dur_Shopping,freq_Shopping,dur_calls,dur_Lifestyle,dur_Comics,dur_Shopping,freq_Shopping
8,8,45,0,0,,,dur_calls,dur_Comics,dur_Sports,dur_Personalization,dur_Travel...Local,dur_calls,dur_Comics
9,9,24,1,0,,,dur_Shopping,freq_Shopping,dur_Comics,dur_Sports,dur_calls,dur_Shopping,freq_Shopping
10,10,59,1,1,,,dur_Shopping,dur_Comics,dur_Lifestyle,dur_Sports,dur_Personalization,freq_Business,dur_Shopping
11,11,113,0,1,,,dur_Shopping,dur_Comics,dur_calls,dur_Sports,dur_Weather,dur_Sports,dur_Shopping
12,12,54,1,1,,,dur_calls,dur_Shopping,freq_Shopping,dur_Comics,dur_Lifestyle,dur_calls,freq_Shopping
13,13,27,1,1,,,dur_Shopping,freq_Shopping,dur_Comics,freq_Unknown,dur_Sports,dur_Shopping,freq_Shopping
14,14,62,1,1,,,dur_Comics,dur_Sports,dur_Business,dur_Personalization,dur_Lifestyle,dur_Lifestyle,dur_Comics
15,15,115,1,1,,,dur_Shopping,dur_Comics,dur_Sports,dur_Business,freq_Entertainment,dur_Sports,dur_Shopping
16,16,114,0,0,,,freq_Shopping,dur_Comics,freq_Unknown,dur_calls,dur_Lifestyle,freq_Shopping,dur_Comics
17,17,122,1,0,,,dur_Shopping,freq_Shopping,dur_Comics,dur_Sports,dur_Business,dur_Shopping,freq_Shopping
18,18,104,0,0,,,dur_Shopping,freq_Shopping,dur_Comics,dur_Sports,dur_Lifestyle,dur_Shopping,freq_Shopping
19,19,84,1,1,,,dur_calls,dur_Shopping,freq_Shopping,dur_Comics,dur_Business,dur_calls,freq_Shopping
20,20,60,0,1,,,dur_Shopping,dur_calls,freq_Unknown,dur_Sports,dur_Comics,dur_Sports,dur_Shopping
21,21,18,1,1,,,freq_Shopping,dur_Shopping,dur_Comics,freq_Unknown,dur_Lifestyle,freq_Shopping,dur_Shopping
22,22,92,1,1,,,dur_Shopping,freq_Shopping,dur_Comics,dur_Sports,dur_Personalization,dur_Shopping,freq_Shopping
23,23,33,0,1,,,dur_Comics,freq_Unknown,dur_Sports,dur_Weather,dur_Personalization,dur_Sports,dur_Comics
24,24,94,0,1,,,dur_Shopping,freq_Shopping,dur_calls,dur_Comics,dur_Business,dur_Shopping,freq_Shopping
25,25,48,1,0,,,dur_Shopping,freq_Shopping,dur_Comics,dur_Business,dur_calls,dur_Shopping,freq_Shopping
26,26,7,1,1,,,dur_Shopping,dur_Comics,dur_Sports,dur_calls,dur_Entertainment,dur_Shopping,dur_Comics
27,27,16,1,0,,,dur_Shopping,dur_Comics,dur_Sports,dur_Entertainment,dur_calls,dur_Entertainment,dur_Shopping
28,28,128,0,0,,,freq_Shopping,dur_Comics,freq_Unknown,dur_Lifestyle,dur_Sports,freq_Shopping,dur_Comics
29,29,10,1,1,,,freq_Shopping,dur_Shopping,dur_Comics,dur_Lifestyle,dur_Sports,freq_Shopping,dur_Shopping
30,30,2,0,1,,,freq_Shopping,dur_Comics,dur_Sports,dur_Personalization,dur_Travel...Local,freq_Shopping,dur_Comics
31,31,51,0,0,,,dur_Sports,dur_Lifestyle,dur_Comics,dur_Personalization,dur_Weather,dur_Lifestyle,dur_Sports
32,32,101,0,0,,,dur_calls,dur_Shopping,freq_Shopping,dur_Comics,dur_Business,dur_calls,freq_Shopping
33,33,116,0,0,,,freq_Shopping,dur_Lifestyle,dur_Comics,dur_Sports,dur_Entertainment,freq_Shopping,dur_Lifestyle
34,34,30,0,1,,,dur_Shopping,dur_calls,dur_Comics,dur_Sports,freq_Entertainment,dur_Shopping,dur_calls
