,index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,Unnamed: 13,accuracy
0,0,26,,,0.005235310344574473,0.9947646896554255,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,freq_Games,freq_Comics,dur_Comics,,
1,1,8,,,0.943962131892084,0.05603786810791596,freq_Comics,dur_Comics,dur_Personalization,freq_Medical,freq_Unknown,freq_Comics,dur_Comics,,
2,2,86,,,1.0,2.3167273936066317e-21,freq_Comics,dur_Comics,freq_Travel...Local,freq_Medical,dur_Personalization,dur_Comics,freq_Comics,,
3,3,78,,,0.760674381880025,0.23932561811997505,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,dur_Health...Fitness,freq_Comics,dur_Comics,,
4,4,43,,,0.4083767964407258,0.5916232035592742,freq_Comics,dur_Comics,dur_Personalization,Age,dur_Travel...Local,freq_Comics,dur_Comics,,
5,5,85,,,0.9936515694782042,0.006348430521795844,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,dur_Health...Fitness,freq_Comics,dur_Comics,,
6,6,22,,,1.6699677382159273e-05,0.9999833003226178,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,dur_Travel...Local,freq_Comics,dur_Comics,,
7,7,50,,,0.99928814977873,0.000711850221269973,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,dur_Travel...Local,freq_Comics,dur_Comics,,
8,8,45,,,0.9984755973666176,0.0015244026333823518,freq_Comics,dur_Comics,dur_Personalization,freq_Medical,freq_Games,freq_Comics,dur_Comics,,
9,9,24,,,0.006702596951789208,0.9932974030482108,freq_Comics,dur_Comics,freq_Medical,dur_Travel...Local,dur_Personalization,freq_Comics,dur_Comics,,
10,10,59,,,0.6825038759779299,0.31749612402207006,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,Age,freq_Comics,dur_Comics,,
11,11,113,,,0.8305320689935101,0.16946793100648988,freq_Comics,dur_Comics,dur_Personalization,dur_Travel...Local,freq_Medical,freq_Comics,dur_Comics,,
12,12,54,,,0.9997446513132499,0.0002553486867501208,freq_Comics,dur_Comics,dur_Personalization,freq_Medical,freq_Games,freq_Comics,dur_Comics,,
13,13,27,,,0.3310937915669383,0.6689062084330617,freq_Comics,dur_Comics,dur_Personalization,freq_Medical,Age,freq_Comics,dur_Comics,,
14,14,62,,,0.7541161282473023,0.24588387175269769,freq_Comics,dur_Comics,Age,dur_Personalization,freq_Medical,freq_Comics,dur_Comics,,
15,15,115,,,0.00022780491710194806,0.999772195082898,freq_Comics,dur_Comics,dur_Personalization,dur_Travel...Local,Age,dur_Comics,freq_Comics,,
16,16,114,,,0.9731895934179865,0.026810406582013474,freq_Comics,dur_Comics,dur_Personalization,freq_Medical,dur_Games,freq_Comics,dur_Comics,,
17,17,122,,,0.3954191206536021,0.6045808793463979,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,freq_Transportation,freq_Comics,dur_Comics,,
18,18,104,,,0.00758070632061969,0.9924192936793803,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,dur_News...Magazines,freq_Comics,dur_Comics,,
19,19,84,,,0.9519511206048547,0.048048879395145384,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,freq_Games,freq_Comics,dur_Comics,,
20,20,60,,,0.8832904055490672,0.11670959445093272,freq_Comics,dur_Comics,freq_Travel...Local,dur_News...Magazines,dur_Personalization,freq_Comics,dur_Comics,,
21,21,18,,,0.40033291937061555,0.5996670806293845,freq_Comics,dur_Comics,dur_Personalization,Education_lev,freq_Medical,freq_Comics,dur_Comics,,
22,22,92,,,0.06719929594321128,0.9328007040567887,freq_Comics,dur_Comics,freq_Medical,dur_News...Magazines,dur_Personalization,freq_Comics,dur_Comics,,
23,23,33,,,0.9702274335103334,0.029772566489666686,freq_Comics,dur_Comics,freq_Medical,freq_Unknown,dur_Personalization,freq_Comics,dur_Comics,,
24,24,94,,,0.991629189983232,0.008370810016767986,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,freq_Unknown,freq_Comics,dur_Comics,,
25,25,48,,,0.9998192869291089,0.00018071307089103346,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,freq_Unknown,freq_Comics,dur_Comics,,
26,26,7,,,0.9344546752386779,0.0655453247613221,freq_Comics,dur_Comics,dur_Personalization,dur_Travel...Local,freq_Medical,freq_Comics,dur_Comics,,
27,27,16,,,0.9173604089931973,0.08263959100680272,freq_Comics,dur_Comics,dur_News...Magazines,dur_Travel...Local,dur_Personalization,freq_Comics,dur_Comics,,
28,28,128,,,0.7118790056338479,0.28812099436615213,freq_Comics,dur_Comics,dur_Travel...Local,freq_Medical,dur_Personalization,freq_Comics,dur_Comics,,
29,29,10,,,0.3554631160866186,0.6445368839133814,freq_Comics,dur_Comics,dur_News...Magazines,freq_Medical,dur_Personalization,freq_Comics,dur_Comics,,
30,30,2,,,0.8257618837098906,0.1742381162901095,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,dur_Travel...Local,freq_Comics,dur_Comics,,
31,31,51,,,0.9991620705217046,0.0008379294782954655,freq_Comics,dur_Comics,dur_Personalization,freq_Travel...Local,freq_Medical,freq_Comics,dur_Comics,,
32,32,101,,,0.060525407798255326,0.9394745922017447,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,dur_News...Magazines,freq_Comics,dur_Comics,,
33,33,116,,,0.9850549149262937,0.01494508507370632,freq_Comics,dur_Comics,freq_Medical,freq_Travel...Local,dur_Personalization,freq_Comics,dur_Comics,,
34,34,30,,,0.7454239357056812,0.2545760642943188,freq_Comics,dur_Comics,freq_Medical,dur_Personalization,dur_Health...Fitness,freq_Comics,dur_Comics,,
