,feature,weight,std,trait
0,Freq. Transportation,0.03857578337238846,0.06145599437543428,Emotional Stability
1,Dur. Business,0.0362330188646423,0.06255474952744638,Emotional Stability
2,Freq. Photography,0.03539345157007663,0.0470735844986456,Emotional Stability
3,Dur. Travel/Local,0.03282390258328434,0.05148323941160556,Emotional Stability
4,Freq. Productivity,0.032755414034674676,0.05806775128083356,Emotional Stability
0,Freq. Calls,0.06213997526139143,0.08126538145943295,Extraversion
1,Dur. Productivity,0.043426385121535065,0.06317397596672393,Extraversion
2,Dur. Shopping,0.03871911031470938,0.06054005386290136,Extraversion
3,Dur. Calls,0.03306180903872753,0.05338700774682811,Extraversion
4,Dur. Travel/Local,0.031195438459624063,0.04954523746933768,Extraversion
0,Freq. Entertainment,0.040635653394830704,0.06723384433671561,Openness
1,Freq. Music/Audio,0.03594352864099056,0.048981116706679956,Openness
2,Dur. Games,0.03134353497918444,0.04592978528662864,Openness
3,Dur. Communication,0.031151960975086053,0.05282563704806825,Openness
4,Freq. Calls,0.030937024072885014,0.05825929702686822,Openness
0,Dur. Unknown,0.06098785595836498,0.07728164184386276,Conscientiousness
1,Dur. Calls,0.046243196399366734,0.06439415575410735,Conscientiousness
2,Freq. Business,0.042248592070168595,0.06836623451622635,Conscientiousness
3,Freq. Games,0.03453689363951959,0.059718726463794065,Conscientiousness
4,Freq. Calls,0.03375312615610883,0.06027175181356227,Conscientiousness
0,Freq. Social,0.04894911821179042,0.08412297421813855,Agreeableness
1,Freq. Photography,0.042423969249843395,0.06477823043492562,Agreeableness
2,Dur. Photography,0.03530542195770481,0.052704411068747514,Agreeableness
3,Dur. Travel/Local,0.03520184342287646,0.052888561233875135,Agreeableness
4,Dur. Unknown,0.033586738818355145,0.0589833105884064,Agreeableness
